process_name,upload_kbps,download_kbps
opera.exe,102.453125,31.7734375
RiotClientServices.exe,3.6533203125,140.35986328125
svchost.exe,0.0,56.24365234375
Discord.exe,680.5625,2339.0869140625
Discord.exe,369.80810546875,738.59912109375
opera.exe,34.3359375,14.0546875
NVIDIA Overlay.exe,0.05078125,0.05078125
RiotClientServices.exe,5.10546875,527.78173828125
SearchHost.exe,40.1484375,20.0
ProxiFyre.exe,17.6806640625,169.59765625
OUTLOOK.EXE,1952.6806640625,24175.12890625
svchost.exe,0.0,4.91552734375
Discord.exe,1202.62646484375,6793.41162109375
Discord.exe,6.82958984375,9.5078125
opera.exe,7.0546875,0.078125
RiotClientServices.exe,103.0126953125,21541.6044921875
svchost.exe,0.0,78.8193359375
OUTLOOK.EXE,9411.49560546875,92105.63134765625
Cloudflare WARP.exe,97.18310546875,89.81640625
RiotClientServices.exe,125924.0244140625,61478.296875
Discord.exe,18.05859375,18.48046875
Discord.exe,67.2841796875,495.376953125
opera.exe,328.828125,3.17578125
backgroundTaskHost.exe,0.0,29.861328125
SearchHost.exe,0.0703125,0.1015625
RiotClientServices.exe,11088.70556640625,181346.93701171875
ProxiFyre.exe,28.96728515625,254.396484375
OUTLOOK.EXE,26966.10302734375,174869.9033203125
Discord.exe,1519.0859375,7656.732421875
Discord.exe,133.1328125,294.3671875
msedgewebview2.exe,0.30859375,0.1640625
opera.exe,15.48046875,143.583984375
NVIDIA Overlay.exe,4.7421875,0.1015625
Code.exe,0.875,0.3203125
svchost.exe,0.0,8.830078125
RiotClientServices.exe,52941.55908203125,101980.86279296875
ProxiFyre.exe,5.2294921875,0.0
OUTLOOK.EXE,98293.34619140625,219521.66162109375
Discord.exe,33.283203125,74.02392578125
svchost.exe,322.76171875,1827.8046875
Discord.exe,27.0517578125,15.89453125
Code.exe,1.09375,0.4296875
ProxiFyre.exe,18.7529296875,169.59765625
msedge.exe,0.2890625,0.0
OUTLOOK.EXE,119687.19189453125,82188.69091796875
Discord.exe,1609.7529296875,7303.67626953125
Discord.exe,11046.54345703125,5605.3828125
ProxiFyre.exe,8.33203125,0.0
RiotClientServices.exe,21143.5390625,40789.4990234375
OUTLOOK.EXE,131842.43310546875,314956.794921875
Discord.exe,29.9921875,16.265625
svchost.exe,0.333984375,1.2734375
Discord.exe,11231.12158203125,5885.31640625
opera.exe,38.6484375,1.53125
msedgewebview2.exe,1333.76953125,4253.486328125
NVIDIA Overlay.exe,0.05078125,0.05078125
svchost.exe,0.0,26.490234375
SearchHost.exe,0.0703125,0.1015625
OUTLOOK.EXE,164799.87255859375,282681.22314453125
ProxiFyre.exe,17.8271484375,169.59765625
Discord.exe,1479.0009765625,7175.47705078125
msedgewebview2.exe,4770.7783203125,14082.6455078125
Discord.exe,4.9453125,28.2265625
opera.exe,61.88671875,2.4296875
NVIDIA Overlay.exe,0.05078125,0.05078125
SearchProtocolHost.exe,2.662109375,44.8125
OUTLOOK.EXE,140071.24365234375,93090.484375
ProxiFyre.exe,5.5712890625,0.0
Discord.exe,27.56591796875,9.78515625
msedgewebview2.exe,122.0390625,185.23046875
Discord.exe,11.83837890625,1.265625
SearchProtocolHost.exe,0.0,27.5
OUTLOOK.EXE,56633.9033203125,25411.50732421875
ProxiFyre.exe,9.3115234375,84.798828125
Discord.exe,43.57177734375,22.255859375
Discord.exe,236.08154296875,30.8115234375
opera.exe,44.068359375,8.818359375
OUTLOOK.EXE,118570.42724609375,46328.74609375
ProxiFyre.exe,8.203125,0.0
svchost.exe,34.189453125,1367.62353515625
Discord.exe,35.99365234375,0.900390625
opera.exe,16.27734375,18.90234375
Code.exe,0.875,0.3203125
SearchProtocolHost.exe,0.0,65.25
SearchHost.exe,0.2890625,0.28125
OUTLOOK.EXE,176029.1083984375,194622.93505859375
msedgewebview2.exe,2.9453125,7.484375
svchost.exe,10.0,2.3349609375
Discord.exe,1.80078125,1.62109375
opera.exe,1059610.8442382812,106100.71533203125
Code.exe,0.1640625,0.375
SearchHost.exe,0.328125,0.328125
nvcontainer.exe,569.11279296875,4221.23486328125
OUTLOOK.EXE,100351.3662109375,56902.451171875
msedgewebview2.exe,898.2001953125,2408.74169921875
svchost.exe,44.189453125,1372.84130859375
