process_name,upload_kbps,download_kbps
NVIDIA App.exe,0.72021484375,0.0
OUTLOOK.EXE,38.14208984375,0.0
svchost.exe,2.02392578125,0.0
LeagueClient.exe,1.76708984375,0.0
Code.exe,1.11865234375,0.0
?,0.0263671875,0.0
ProxiFyre.exe,0.0263671875,0.0
ciadpi.exe,0.12158203125,0.0
GitHubDesktop.exe,4.5869140625,0.0
opera.exe,0.10546875,0.0
OUTLOOK.EXE,21.3955078125,0.0
RiotClientServices.exe,3.431640625,0.0
Code.exe,0.02734375,0.0
LeagueClient.exe,183.1298828125,0.0
svchost.exe,0.6279296875,0.0
steam.exe,0.1181640625,0.0
ciadpi.exe,0.7001953125,0.0
msedgewebview2.exe,0.080078125,0.0
NVIDIA App.exe,5.427734375,0.0
steamwebhelper.exe,0.263671875,0.0
NVIDIA App.exe,20.53125,0.0
steamwebhelper.exe,0.923828125,0.0
LeagueClient.exe,121.66748046875,0.0
OUTLOOK.EXE,16.677734375,0.0
RiotClientServices.exe,0.1181640625,0.0
Code.exe,0.5576171875,0.0
EpicWebHelper.exe,0.41357421875,0.0
EpicGamesLauncher.exe,0.0712890625,0.0
svchost.exe,0.63134765625,0.0
svchost.exe,1.70703125,0.0
vgc.exe,4.8671875,0.0
GitHubDesktop.exe,0.3544921875,0.0
msedgewebview2.exe,0.16015625,0.0
LeagueClient.exe,166.66064453125,0.0
svchost.exe,0.65185546875,0.0
NVIDIA App.exe,0.3544921875,0.0
msedge.exe,1.37890625,0.0
EpicWebHelper.exe,2.1083984375,0.0
opera.exe,0.16015625,0.0
svchost.exe,2.64599609375,0.0
svchost.exe,1.4921875,0.0
LeagueClient.exe,116.0517578125,0.0
svchost.exe,1.27392578125,0.0
EpicGamesLauncher.exe,0.091796875,0.0
WINWORD.EXE,0.0263671875,0.0
LeagueClient.exe,39.03173828125,0.0
svchost.exe,1.3076171875,0.0
OUTLOOK.EXE,0.14453125,0.0
RiotClientServices.exe,0.68994140625,0.0
WINWORD.EXE,25.31103515625,0.0
NVIDIA App.exe,6.9638671875,0.0
POWERPNT.EXE,5.412109375,0.0
NVIDIA App.exe,0.19677734375,0.0
svchost.exe,1.08740234375,0.0
WINWORD.EXE,11.6650390625,0.0
POWERPNT.EXE,6.03564453125,0.0
msedge.exe,0.05908203125,0.0
GameBarPresenceWriter.exe,0.609375,0.0
OUTLOOK.EXE,0.14453125,0.0
WINWORD.EXE,69.201171875,0.0
GameBarPresenceWriter.exe,0.9130859375,0.0
svchost.exe,0.96728515625,0.0
msedge.exe,0.05908203125,0.0
GameBar.exe,1.92236328125,0.0
steam.exe,0.080078125,0.0
RiotClientServices.exe,2.40966796875,0.0
ciadpi.exe,0.7001953125,0.0
LeagueClient.exe,335.7734375,0.0
opera.exe,0.1181640625,0.0
OUTLOOK.EXE,0.072265625,0.0
svchost.exe,0.48974609375,0.0
NVIDIA App.exe,0.236328125,0.0
opera.exe,0.02734375,0.0
svchost.exe,0.05908203125,0.0
LeagueClient.exe,4.43115234375,0.0
EpicGamesLauncher.exe,7.85302734375,0.0
svchost.exe,0.2744140625,0.0
RiotClientServices.exe,0.1181640625,0.0
OUTLOOK.EXE,0.072265625,0.0
RiotClientServices.exe,0.1181640625,0.0
svchost.exe,2.23681640625,0.0
GitHubDesktop.exe,0.1591796875,0.0
POWERPNT.EXE,6.68115234375,0.0
WINWORD.EXE,3.830078125,0.0
gamingservices.exe,1.83056640625,0.0
gamingservices.exe,25.6162109375,0.0
svchost.exe,2.43408203125,0.0
EpicGamesLauncher.exe,0.55078125,0.0
POWERPNT.EXE,26.33544921875,0.0
WINWORD.EXE,0.916015625,0.0
opera.exe,0.10546875,0.0
LeagueClientUxRender.exe,0.16015625,0.0
OUTLOOK.EXE,0.70458984375,0.0
RiotClientServices.exe,1.45361328125,0.0
LeagueClient.exe,0.2001953125,0.0
gamingservices.exe,6.84423828125,0.0
svchost.exe,0.4599609375,0.0
WINWORD.EXE,3.34765625,0.0
?,0.0263671875,0.0
LeagueClient.exe,0.263671875,0.0
POWERPNT.EXE,21.91552734375,0.0
RiotClientServices.exe,1.45654296875,0.0
opera.exe,0.05908203125,0.0
svchost.exe,4.607421875,0.0
LeagueClient.exe,2.52783203125,0.0
svchost.exe,0.8984375,0.0
EpicWebHelper.exe,0.13037109375,0.0
RiotClientServices.exe,1.6826171875,0.0
LeagueClient.exe,9.33447265625,0.0
svchost.exe,12.16259765625,0.0
msedge.exe,26.49267578125,0.0
